;r2;mae;mse;rmse;train_size;test_size;file
0;0.6163;0.1094;0.0285;0.1689;1440;1440;bathroom_K1
1;0.7656;0.0796;0.017;0.1304;1440;1440;bedroom_K3
2;0.7713;0.0549;0.0142;0.1193;1440;1440;kidsroom_K5
3;0.4786;0.1233;0.033;0.1816;1440;1440;kitchen_K2
4;0.7415;0.0681;0.0153;0.1239;1440;1440;livingroom_K4
5;0.5874;0.1172;0.0313;0.1768;7200;7200;bathroom_K1
6;0.7552;0.0843;0.0176;0.1328;7200;7200;bedroom_K3
7;0.7651;0.0607;0.015;0.1226;7200;7200;kidsroom_K5
8;0.4859;0.1265;0.0319;0.1787;7200;7200;kitchen_K2
9;0.7256;0.0732;0.016;0.1263;7200;7200;livingroom_K4
