;r2;mae;mse;rmse;train_size;test_size;file
0;0.5619;0.1169;0.0295;0.1716;1440;1440;bathroom_K1
1;0.7119;0.0726;0.0189;0.1376;7200;7200;bathroom_K1
2;0.738;0.0739;0.0164;0.1282;1440;1440;bedroom_K3
3;0.8119;0.0529;0.0113;0.1065;7200;7200;bedroom_K3
4;0.8284;0.046;0.0087;0.0932;1440;1440;kidsroom_K5
5;0.8747;0.0309;0.0065;0.0807;7200;7200;kidsroom_K5
6;0.5417;0.1211;0.0262;0.1618;1440;1440;kitchen_K2
7;0.6095;0.0968;0.0221;0.1486;7200;7200;kitchen_K2
8;0.7593;0.0614;0.0122;0.1104;1440;1440;livingroom_K4
9;0.8298;0.0419;0.0089;0.0942;7200;7200;livingroom_K4
