;r2;mae;mse;rmse;train_size;test_size;file
0;0.8386;0.0449;0.0102;0.1009;1440;1440;bathroom_K1
1;0.8319;0.0489;0.0108;0.1039;7200;7200;bathroom_K1
2;0.8691;0.0497;0.0089;0.0943;1440;1440;bedroom_K3
3;0.7251;0.0852;0.0186;0.1362;7200;7200;bedroom_K3
4;0.9412;0.0153;0.004;0.0632;1440;1440;kidsroom_K5
5;0.917;0.0256;0.0058;0.076;7200;7200;kidsroom_K5
6;0.7344;0.0642;0.0161;0.127;1440;1440;kitchen_K2
7;0.7322;0.0682;0.016;0.1263;7200;7200;kitchen_K2
8;0.7949;0.0571;0.0122;0.1103;1440;1440;livingroom_K4
9;0.847;0.0422;0.0089;0.0943;7200;7200;livingroom_K4
